COUNTYNAME,priority_class,cell_count,area_km2
宜蘭縣,0,0,0.0
宜蘭縣,1,1035,10.35
宜蘭縣,2,17314,173.14000000000001
宜蘭縣,3,4555,45.550000000000004
宜蘭縣,4,2662,26.62
宜蘭縣,5,245,2.45
彰化縣,0,0,0.0
彰化縣,1,0,0.0
彰化縣,2,34953,349.53000000000003
彰化縣,3,9837,98.37
彰化縣,4,5727,57.27
彰化縣,5,733,7.33
南投縣,0,0,0.0
南投縣,1,8764,87.64
南投縣,2,27786,277.86
南投縣,3,4897,48.97
南投縣,4,1802,18.02
南投縣,5,133,1.33
雲林縣,0,0,0.0
雲林縣,1,426,4.26
雲林縣,2,36814,368.14
雲林縣,3,9092,90.92
雲林縣,4,5213,52.13
雲林縣,5,301,3.0100000000000002
屏東縣,0,0,0.0
屏東縣,1,3456,34.56
屏東縣,2,36236,362.36
屏東縣,3,8406,84.06
屏東縣,4,4610,46.1
屏東縣,5,272,2.72
基隆市,0,0,0.0
基隆市,1,0,0.0
基隆市,2,3948,39.480000000000004
基隆市,3,1803,18.03
基隆市,4,1360,13.6
基隆市,5,218,2.18
臺北市,0,0,0.0
臺北市,1,0,0.0
臺北市,2,7124,71.24
臺北市,3,5348,53.480000000000004
臺北市,4,5783,57.83
臺北市,5,1079,10.790000000000001
新北市,0,0,0.0
新北市,1,170,1.7
新北市,2,31437,314.37
新北市,3,11140,111.4
新北市,4,7648,76.48
新北市,5,1005,10.05
臺南市,0,0,0.0
臺南市,1,377,3.77
臺南市,2,44881,448.81
臺南市,3,13096,130.96
臺南市,4,7892,78.92
臺南市,5,970,9.700000000000001
桃園市,0,0,0.0
桃園市,1,1321,13.21
桃園市,2,30867,308.67
桃園市,3,10033,100.33
桃園市,4,6624,66.24
桃園市,5,797,7.97
嘉義市,0,0,0.0
嘉義市,1,0,0.0
嘉義市,2,2186,21.86
嘉義市,3,1140,11.4
嘉義市,4,926,9.26
嘉義市,5,158,1.58
嘉義縣,0,0,0.0
嘉義縣,1,4380,43.800000000000004
嘉義縣,2,29090,290.90000000000003
嘉義縣,3,6011,60.11
嘉義縣,4,3095,30.95
嘉義縣,5,123,1.23
金門縣,0,0,0.0
金門縣,1,0,0.0
金門縣,2,0,0.0
金門縣,3,0,0.0
金門縣,4,0,0.0
金門縣,5,0,0.0
高雄市,0,0,0.0
高雄市,1,4417,44.17
高雄市,2,35408,354.08
高雄市,3,12101,121.01
高雄市,4,8073,80.73
高雄市,5,905,9.05
臺東縣,0,0,0.0
臺東縣,1,3727,37.27
臺東縣,2,18947,189.47
臺東縣,3,3793,37.93
臺東縣,4,1896,18.96
臺東縣,5,131,1.31
花蓮縣,0,0,0.0
花蓮縣,1,6439,64.39
花蓮縣,2,18757,187.57
花蓮縣,3,3517,35.17
花蓮縣,4,1628,16.28
花蓮縣,5,149,1.49
澎湖縣,0,0,0.0
澎湖縣,1,0,0.0
澎湖縣,2,0,0.0
澎湖縣,3,0,0.0
澎湖縣,4,0,0.0
澎湖縣,5,0,0.0
新竹市,0,0,0.0
新竹市,1,0,0.0
新竹市,2,4432,44.32
新竹市,3,1881,18.81
新竹市,4,1401,14.01
新竹市,5,203,2.0300000000000002
臺中市,0,0,0.0
臺中市,1,1653,16.53
臺中市,2,34747,347.47
臺中市,3,13072,130.72
臺中市,4,8646,86.46000000000001
臺中市,5,1049,10.49
苗栗縣,0,0,0.0
苗栗縣,1,5197,51.97
苗栗縣,2,24144,241.44
苗栗縣,3,4885,48.85
苗栗縣,4,2365,23.650000000000002
苗栗縣,5,115,1.1500000000000001
新竹縣,0,0,0.0
新竹縣,1,1843,18.43
新竹縣,2,17935,179.35
新竹縣,3,4908,49.08
新竹縣,4,2993,29.93
新竹縣,5,334,3.34
