COUNTYNAME,COUNTYID,COUNTYCODE,school_count,coverage_status,county_area_km2_geom,county_area_km2_raster_mask,overlay_area_km2_total_class1_5,overlay_area_ratio_in_county,high_priority_area_km2_class4_5,high_priority_ratio_in_overlay,class0_area_km2,class1_area_km2,class2_area_km2,class3_area_km2,class4_area_km2,class5_area_km2,tif_path,png_path
臺北市,A,63000,359,ok,269.84777252378063,193.34,193.34,0.7164780283037604,68.62,0.35491879590358955,0.0,0.0,71.24,53.480000000000004,57.83,10.790000000000001,county_final/rasters/臺北市_school_heat_priority_5class_within1000m.tif,county_final/png/臺北市_school_heat_priority_5class_within1000m.png
嘉義市,I,10020,49,ok,59.72155146256911,44.1,44.1,0.7384268981632196,10.84,0.24580498866213152,0.0,0.0,21.86,11.4,9.26,1.58,county_final/rasters/嘉義市_school_heat_priority_5class_within1000m.tif,county_final/png/嘉義市_school_heat_priority_5class_within1000m.png
基隆市,C,10017,72,ok,137.5702673707708,73.29,73.29,0.5327459297761875,15.78,0.21530904625460498,0.0,0.0,39.480000000000004,18.03,13.6,2.18,county_final/rasters/基隆市_school_heat_priority_5class_within1000m.tif,county_final/png/基隆市_school_heat_priority_5class_within1000m.png
新竹市,O,10018,72,ok,124.43876140114183,79.17,79.17,0.6362165543000459,16.04,0.20260199570544396,0.0,0.0,44.32,18.81,14.01,2.0300000000000002,county_final/rasters/新竹市_school_heat_priority_5class_within1000m.tif,county_final/png/新竹市_school_heat_priority_5class_within1000m.png
新北市,F,65000,393,ok,2066.2625748141118,514.0,514.0,0.24875831671405133,86.53,0.16834630350194552,0.0,1.7,314.37,111.4,76.48,10.05,county_final/rasters/新北市_school_heat_priority_5class_within1000m.tif,county_final/png/新北市_school_heat_priority_5class_within1000m.png
臺中市,B,66000,418,ok,2239.684439573994,591.67,591.67,0.2641756086462521,96.95,0.16385823178460968,0.0,16.53,347.47,130.72,86.46000000000001,10.49,county_final/rasters/臺中市_school_heat_priority_5class_within1000m.tif,county_final/png/臺中市_school_heat_priority_5class_within1000m.png
桃園市,H,68000,308,ok,1217.2210398474836,496.42,496.42,0.40783061066887316,74.21,0.14949035091253374,0.0,13.21,308.67,100.33,66.24,7.97,county_final/rasters/桃園市_school_heat_priority_5class_within1000m.tif,county_final/png/桃園市_school_heat_priority_5class_within1000m.png
高雄市,E,64000,420,ok,2998.4883053316876,609.04,609.04,0.20311568296499627,89.78,0.14741232102981744,0.0,44.17,354.08,121.01,80.73,9.05,county_final/rasters/高雄市_school_heat_priority_5class_within1000m.tif,county_final/png/高雄市_school_heat_priority_5class_within1000m.png
臺南市,D,67000,371,ok,2258.786646473204,672.16,672.16,0.2975756922635826,88.62,0.13184360866460368,0.0,3.77,448.81,130.96,78.92,9.700000000000001,county_final/rasters/臺南市_school_heat_priority_5class_within1000m.tif,county_final/png/臺南市_school_heat_priority_5class_within1000m.png
彰化縣,N,10007,249,ok,1244.545704357776,512.5,512.5,0.4117968494089703,64.60000000000001,0.1260487804878049,0.0,0.0,349.53000000000003,98.37,57.27,7.33,county_final/rasters/彰化縣_school_heat_priority_5class_within1000m.tif,county_final/png/彰化縣_school_heat_priority_5class_within1000m.png
