COUNTYNAME,coverage_status,png_path,image_exists,note
連江縣,outside_raster,,False,outside_raster：不應有圖片
宜蘭縣,ok,county_final/png/宜蘭縣_school_heat_priority_5class_within1000m.png,True,OK
彰化縣,ok,county_final/png/彰化縣_school_heat_priority_5class_within1000m.png,True,OK
南投縣,ok,county_final/png/南投縣_school_heat_priority_5class_within1000m.png,True,OK
雲林縣,ok,county_final/png/雲林縣_school_heat_priority_5class_within1000m.png,True,OK
屏東縣,ok,county_final/png/屏東縣_school_heat_priority_5class_within1000m.png,True,OK
基隆市,ok,county_final/png/基隆市_school_heat_priority_5class_within1000m.png,True,OK
臺北市,ok,county_final/png/臺北市_school_heat_priority_5class_within1000m.png,True,OK
新北市,ok,county_final/png/新北市_school_heat_priority_5class_within1000m.png,True,OK
臺南市,ok,county_final/png/臺南市_school_heat_priority_5class_within1000m.png,True,OK
桃園市,ok,county_final/png/桃園市_school_heat_priority_5class_within1000m.png,True,OK
嘉義市,ok,county_final/png/嘉義市_school_heat_priority_5class_within1000m.png,True,OK
嘉義縣,ok,county_final/png/嘉義縣_school_heat_priority_5class_within1000m.png,True,OK
金門縣,ok,county_final/png/金門縣_school_heat_priority_5class_within1000m.png,True,OK
高雄市,ok,county_final/png/高雄市_school_heat_priority_5class_within1000m.png,True,OK
臺東縣,ok,county_final/png/臺東縣_school_heat_priority_5class_within1000m.png,True,OK
花蓮縣,ok,county_final/png/花蓮縣_school_heat_priority_5class_within1000m.png,True,OK
澎湖縣,ok,county_final/png/澎湖縣_school_heat_priority_5class_within1000m.png,True,OK
新竹市,ok,county_final/png/新竹市_school_heat_priority_5class_within1000m.png,True,OK
臺中市,ok,county_final/png/臺中市_school_heat_priority_5class_within1000m.png,True,OK
苗栗縣,ok,county_final/png/苗栗縣_school_heat_priority_5class_within1000m.png,True,OK
新竹縣,ok,county_final/png/新竹縣_school_heat_priority_5class_within1000m.png,True,OK
